Node Type,Label,single,release_date,genre,notable,Id,written_date,stage_name,notoriety_date,year
Song,Breaking These Chains,True,2017.0,Oceanus Folk,True,0,,,,2017.0
Person,Carlos Duffy,,,,,1,,,,
Person,Min Qin,,,,,2,,,,
Person,Xiuying Xie,,,,,3,,,,
Person,Walter White,,,,,267,,,,
Person,Li Xie,,,,,274,,,,
Person,Tao Cui,,,,,372,, FL∆ME,,
Song,Midnight's Restless Echo,True,2013.0,Oceanus Folk,True,553,,,,2013.0
Person,William Lynch,,,,,554,,,,
Person,Justin Morse,,,,,555,,,,
Person,Eduardo Gonzalez,,,,,556,,,,
Song,Ethereal Wanderer,True,2023.0,Oceanus Folk,True,720,,,2023.0,2023.0
Person,Ryan Devan,,,,,721,,,,
Person,Onkar Kata,,,,,722,,,,
Person,Tiya Sani,,,,,723,,,,
Person,Tara Kota,,,,,724,,,,
Person,Yuvraj  Dar,,,,,725,,,,
Person,Kimaya Srinivasan,,,,,726,,,,
Person,Ela Batra,,,,,727,,,,
Song,"Let Me Go, Let Me Rise",True,2027.0,Oceanus Folk,True,746,,,,2027.0
Person,Yang Gong,,,,,747,,,,
Person,Xiuying Liang,,,,,748,,,,
Song,Mirage of Memories,True,2023.0,Oceanus Folk,True,757,,,,2023.0
Person,Rhonda Brown,,,,,758,,Omnira,,
Person,Mary Medina,,,,,759,,,,
Person,Laura Gibbs,,,,,760,,,,
Person,Raymond Mccoy,,,,,761,,,,
Person,Brandy Reyes,,,,,762,,,,
Song,Loud and Clear,True,2023.0,Oceanus Folk,True,886,2023.0,,,2023.0
Person,Wei Liao,,,,,887,, B.D. Wolf,,
Person,Gang Shao,,,,,888,,,,
Person,Tao Dai,,,,,889,,,,
Person,Xiulan Lin,,,,,890,,,,
Person,Jie Fan,,,,,891,,,,
Person,Ming Yan,,,,,937,,,,
Person,Lupe Miró,,,,,1085,,,,
Person,Guiying Liao,,,,,1180,,,,
Person,Yan Zou,,,,,1182,,,,
Song,Leather Skin Confession,True,2022.0,Oceanus Folk,True,1253,2022.0,,,2022.0
Person,Ping Zhao,,,,,1254,,,,
Person,Xiulan Hao,,,,,1255,,,,
Person,Yong Dong,,,,,1276,,,,
Person,Min Kong,,,,,1277,,,,
Person,Rüdiger Graf,,,,,1304,,,,
Person,Tao Shen,,,,,1398,,,,
Person,Jeffrey Watson,,,,,1399,,,,
Song,Luminous Beam,True,2023.0,Oceanus Folk,True,1435,,,,2023.0
Person,Jun Wen,,,,,1436,,,,
Person,Ping Sun,,,,,1437,,,,
Person,Jie Cui,,,,,1438,,,,
Song,Perfection's Reflection,True,2023.0,Oceanus Folk,True,1489,2023.0,,,2023.0
Person,Yong Shen,,,,,1490,,,,
Person,Yong Lai,,,,,1491,,,,
Person,Juan Yu,,,,,1492,,,,
Person,Lei Jin,,,,,1493,,,,
Person,Qiang Song,,,,,1494,,,,
Person,Tao Dai,,,,,1510,,,,
Person,Min Lei,,,,,1519,,,,
Song,Savanna's Ugly Beauty,True,2026.0,Oceanus Folk,True,1665,,,,2026.0
Person,Gang Pan,,,,,1666,,,,
Person,Tao Kong,,,,,1667,,,,
Person,Chao Mo,,,,,1668,,,,
Person,Chao Tan,,,,,1843,,,,
Song,Whispers of a Forgotten Melody,False,2013.0,Oceanus Folk,False,1863,2013.0,,,2013.0
Person,Ming Song,,,,,1864,,,,
Person,Tao Zhao,,,,,1865,,,,
Person,Na Peng,,,,,1866,,,,
Person,Nadia van Dooren-de Jode Vastraedsd,,,,,1867,,,,
Person,Lei Tao,,,,,1868,,,,
Person,Jing Ding,,,,,1875,,Solara,,
Person,Xiulan Yi,,,,,1877,,,,
Person,Wei Gao,,,,,1878,,,,
Person,Yang Wan,,,,,1952,,,,
Person,Martino Michelangeli,,,,,2004,,,,
Person,Coriolano Luria-Scialpi,,,,,2005,,,,
Person,Filippo Pelli,,,,,2006,,,,
Person,Na Lai,,,,,2050,,,,
Person,Wei Guo,,,,,2155,,,,
Song,Brake Lights and Broken Hearts,True,2026.0,Oceanus Folk,True,2169,2026.0,,,2026.0
Person,Sonia Weeks,,,,,2170,,,,
Person,Lisa Martin,,,,,2171,,,,
Person,Monica Nelson,,,,,2172,,,,
Person,Richard Frazier,,,,,2173,,,,
Person,Yong Wen,,,,,2613,,,,
Person,Michelangelo Berlusconi,,,,,2781,,,,
Person,Stephen Meyer,,,,,2782,,,,
Person,Jun Qiao,,,,,2830,,,,
Person,Melissa Wheeler,,,,,2936,,,,
Song,Destiny's Call,True,2017.0,Oceanus Folk,False,3025,2017.0,,,2017.0
Person,Sandra Smith,,,,,3026,,,,
Person,Xiulan Ye,,,,,3027,,,,
Person,Xia Jia,,,,,3028,,,,
Person,Donna Caldwell,,,,,3029,,,,
Person,Chao Wu,,,,,3030,,,,
Song,Visions Beyond the Horizon,True,2020.0,Oceanus Folk,True,3037,,,,2020.0
Person,Christopher Smith,,,,,3038,,,,
Person,Timothy Hansen,,,,,3039,,,,
Person,Autumn Walker,,,,,3040,,,,
Person,Tao Lei,,,,,3068,,,,
Person,Min Jin,,,,,3070,,,,
Person,Min Gao,,,,,3078,,,,
Person,Yang Yao,,,,,3079,,,,
Person,Ping Liao,,,,,3089,,,,
Song,Abundance Overflowing,False,2017.0,Oceanus Folk,True,3194,2017.0,,,2017.0
Person,Lei Zeng,,,,,3195,,,,
